Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.5092149062271657,0.45329552583352606,0.5092149062271657,0.45479844161760485
KNN,0.4753592595599578,0.4398586987408989,0.4753592595599578,0.4460365728365754
Random Forest Tree,0.5089713404238045,0.4732729034347733,0.5089713404238045,0.46990724210525037
